date,day,waitTime
5/26/2017,Friday,5
5/26/2017,Friday,60
5/26/2017,Friday,60
5/26/2017,Friday,60
5/26/2017,Friday,45
5/26/2017,Friday,45
5/26/2017,Friday,45
5/26/2017,Friday,45
5/26/2017,Friday,45
5/26/2017,Friday,55
5/26/2017,Friday,65
5/26/2017,Friday,65
5/26/2017,Friday,75
5/26/2017,Friday,75
5/26/2017,Friday,75
5/26/2017,Friday,85
5/26/2017,Friday,85
5/26/2017,Friday,85
5/26/2017,Friday,85
5/26/2017,Friday,85
5/26/2017,Friday,100
5/26/2017,Friday,100
5/26/2017,Friday,100
5/26/2017,Friday,100
5/26/2017,Friday,100
5/26/2017,Friday,105
5/26/2017,Friday,65
5/26/2017,Friday,70
5/26/2017,Friday,75
5/26/2017,Friday,70
5/26/2017,Friday,70
5/26/2017,Friday,65
5/26/2017,Friday,75
5/26/2017,Friday,65
5/26/2017,Friday,60
5/26/2017,Friday,65
5/26/2017,Friday,65
5/26/2017,Friday,65
5/26/2017,Friday,65
5/26/2017,Friday,75
5/26/2017,Friday,70
5/26/2017,Friday,70
5/26/2017,Friday,70
5/26/2017,Friday,70
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,20
5/26/2017,Friday,20
5/26/2017,Friday,20
5/26/2017,Friday,20
5/26/2017,Friday,20
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/26/2017,Friday,10
5/27/2017,Saturday,60
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,120
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,250
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,195
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,160
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,180
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/27/2017,Saturday,90
5/28/2017,Sunday,5
5/28/2017,Sunday,5
5/28/2017,Sunday,90
5/28/2017,Sunday,90
5/28/2017,Sunday,90
5/28/2017,Sunday,150
5/28/2017,Sunday,180
